2025-08-15T06:12:00.767790 | [NEWS] Lancement boucle d'analyse des news…
2025-08-15T06:12:38.169193 | [NEWS] Aucun élément à analyser dans news_data, skip boucle
2025-08-15T06:21:02.073523 | [MARKET ANALYSIS] Régime détecté: Range/Scalping | Volatilité: 0.0722 | Tendance: 0.0005
2025-08-15T06:21:02.073972 | 🔈 Régime de marché détecté: Range/Scalping
2025-08-15T06:24:04.322354 | Démarrage cycle trading
2025-08-15T06:42:04.921369 | [TRADE-DECISION] LTCUSDC | Action: NEUTRAL | Confiance: 0.03 | Score: 0.0349 | Tech: 0.01 | AI: 0.48
2025-08-15T06:42:05.042803 | [TRADE-DECISION] LTCUSDC | Action: NEUTRAL | Confiance: 0.19 | Score: 0.1880 | Tech: 0.00 | AI: 0.48
2025-08-15T06:42:05.163428 | [TRADE-DECISION] LTCUSDC | Action: NEUTRAL | Confiance: 0.12 | Score: 0.1243 | Tech: -0.00 | AI: 0.48
2025-08-15T06:42:05.284111 | [TRADE-DECISION] LTCUSDC | Action: NEUTRAL | Confiance: 0.08 | Score: -0.0755 | Tech: -0.03 | AI: 0.48
2025-08-15T06:42:05.411115 | [TRADE-DECISION] LTCUSDC | Action: NEUTRAL | Confiance: 0.28 | Score: -0.2793 | Tech: 0.03 | AI: 0.48
2025-08-15T06:42:05.542871 | [TRADE-DECISION] LTCUSDC | Action: BUY | Confiance: 0.21 | Score: 0.2144 | Tech: 0.08 | AI: 0.48
2025-08-15T06:42:05.671447 | [TRADE-DECISION] XRPUSDC | Action: NEUTRAL | Confiance: 0.02 | Score: 0.0249 | Tech: 0.00 | AI: 0.15
2025-08-15T06:42:05.801122 | [TRADE-DECISION] XRPUSDC | Action: NEUTRAL | Confiance: 0.13 | Score: 0.1251 | Tech: 0.00 | AI: 0.15
2025-08-15T06:42:05.924340 | [TRADE-DECISION] XRPUSDC | Action: NEUTRAL | Confiance: 0.07 | Score: 0.0748 | Tech: 0.00 | AI: 0.15
2025-08-15T06:42:06.046898 | [TRADE-DECISION] XRPUSDC | Action: NEUTRAL | Confiance: 0.12 | Score: -0.1221 | Tech: -0.01 | AI: 0.15
2025-08-15T06:42:06.169520 | [TRADE-DECISION] XRPUSDC | Action: NEUTRAL | Confiance: 0.17 | Score: -0.1684 | Tech: -0.02 | AI: 0.15
2025-08-15T06:42:06.291438 | [TRADE-DECISION] XRPUSDC | Action: NEUTRAL | Confiance: 0.16 | Score: 0.1638 | Tech: 0.15 | AI: 0.15
2025-08-15T06:42:06.414468 | [TRADE-DECISION] DOGEUSDC | Action: NEUTRAL | Confiance: 0.00 | Score: -0.0044 | Tech: 0.00 | AI: 0.15
2025-08-15T06:42:06.539815 | [TRADE-DECISION] DOGEUSDC | Action: NEUTRAL | Confiance: 0.15 | Score: 0.1490 | Tech: 0.02 | AI: 0.15
2025-08-15T06:42:06.663480 | [TRADE-DECISION] DOGEUSDC | Action: NEUTRAL | Confiance: 0.03 | Score: 0.0282 | Tech: 0.01 | AI: 0.15
2025-08-15T06:42:06.785488 | [TRADE-DECISION] DOGEUSDC | Action: NEUTRAL | Confiance: 0.01 | Score: 0.0084 | Tech: 0.04 | AI: 0.15
2025-08-15T06:42:06.908097 | [TRADE-DECISION] DOGEUSDC | Action: NEUTRAL | Confiance: 0.03 | Score: 0.0275 | Tech: 0.05 | AI: 0.15
2025-08-15T06:42:06.989955 | [TRADE-DECISION] DOGEUSDC | Action: NEUTRAL | Confiance: 0.15 | Score: 0.1457 | Tech: 0.15 | AI: 0.15
2025-08-15T06:42:07.114582 | [TRADE-DECISION] BNBUSDC | Action: NEUTRAL | Confiance: 0.18 | Score: 0.1798 | Tech: 0.00 | AI: 0.15
2025-08-15T06:42:07.240070 | [TRADE-DECISION] BNBUSDC | Action: NEUTRAL | Confiance: 0.20 | Score: 0.2006 | Tech: 0.00 | AI: 0.15
2025-08-15T06:42:07.365008 | [TRADE-DECISION] BNBUSDC | Action: NEUTRAL | Confiance: 0.17 | Score: 0.1657 | Tech: 0.01 | AI: 0.15
2025-08-15T06:42:07.487792 | [TRADE-DECISION] BNBUSDC | Action: NEUTRAL | Confiance: 0.10 | Score: 0.1010 | Tech: 0.04 | AI: 0.15
2025-08-15T06:42:07.611511 | [TRADE-DECISION] BNBUSDC | Action: BUY | Confiance: 0.25 | Score: 0.2486 | Tech: -0.01 | AI: 0.15
2025-08-15T06:42:07.734231 | [TRADE-DECISION] BNBUSDC | Action: BUY | Confiance: 0.28 | Score: 0.2807 | Tech: 0.20 | AI: 0.15
2025-08-15T06:42:07.856711 | [TRADE-DECISION] ADAUSDC | Action: NEUTRAL | Confiance: 0.21 | Score: 0.2109 | Tech: 0.03 | AI: 0.15
2025-08-15T06:42:07.980829 | [TRADE-DECISION] ADAUSDC | Action: NEUTRAL | Confiance: 0.15 | Score: 0.1513 | Tech: 0.05 | AI: 0.15
2025-08-15T06:42:08.103646 | [TRADE-DECISION] ADAUSDC | Action: NEUTRAL | Confiance: 0.12 | Score: 0.1175 | Tech: 0.04 | AI: 0.15
2025-08-15T06:42:08.225787 | [TRADE-DECISION] ADAUSDC | Action: NEUTRAL | Confiance: 0.13 | Score: 0.1344 | Tech: 0.09 | AI: 0.15
2025-08-15T06:42:08.349484 | [TRADE-DECISION] ADAUSDC | Action: BUY | Confiance: 0.42 | Score: 0.4247 | Tech: 0.16 | AI: 0.15
2025-08-15T06:42:08.470939 | [TRADE-DECISION] ADAUSDC | Action: BUY | Confiance: 0.34 | Score: 0.3449 | Tech: 0.36 | AI: 0.15
2025-08-15T06:42:08.595564 | [TRADE-DECISION] SOLUSDC | Action: NEUTRAL | Confiance: 0.09 | Score: 0.0945 | Tech: 0.01 | AI: 0.15
2025-08-15T06:42:08.721010 | [TRADE-DECISION] SOLUSDC | Action: NEUTRAL | Confiance: 0.12 | Score: 0.1153 | Tech: 0.00 | AI: 0.15
2025-08-15T06:42:08.844562 | [TRADE-DECISION] SOLUSDC | Action: NEUTRAL | Confiance: 0.05 | Score: 0.0531 | Tech: 0.00 | AI: 0.15
2025-08-15T06:42:08.966865 | [TRADE-DECISION] SOLUSDC | Action: NEUTRAL | Confiance: 0.07 | Score: 0.0659 | Tech: 0.05 | AI: 0.15
2025-08-15T06:42:09.089308 | [TRADE-DECISION] SOLUSDC | Action: NEUTRAL | Confiance: 0.19 | Score: 0.1935 | Tech: 0.11 | AI: 0.15
2025-08-15T06:42:09.209464 | [TRADE-DECISION] SOLUSDC | Action: BUY | Confiance: 0.33 | Score: 0.3268 | Tech: 0.24 | AI: 0.15
2025-08-15T06:42:09.333242 | [TRADE-DECISION] TRXUSDC | Action: NEUTRAL | Confiance: 0.10 | Score: -0.1011 | Tech: -0.01 | AI: 0.15
2025-08-15T06:42:09.457861 | [TRADE-DECISION] TRXUSDC | Action: NEUTRAL | Confiance: 0.17 | Score: -0.1732 | Tech: -0.01 | AI: 0.15
2025-08-15T06:42:09.581288 | [TRADE-DECISION] TRXUSDC | Action: NEUTRAL | Confiance: 0.11 | Score: -0.1081 | Tech: -0.02 | AI: 0.15
2025-08-15T06:42:09.703771 | [TRADE-DECISION] TRXUSDC | Action: NEUTRAL | Confiance: 0.14 | Score: -0.1420 | Tech: -0.00 | AI: 0.15
2025-08-15T06:42:09.826968 | [TRADE-DECISION] TRXUSDC | Action: NEUTRAL | Confiance: 0.15 | Score: -0.1465 | Tech: 0.07 | AI: 0.15
2025-08-15T06:42:09.950006 | [TRADE-DECISION] TRXUSDC | Action: NEUTRAL | Confiance: 0.01 | Score: 0.0116 | Tech: 0.25 | AI: 0.15
2025-08-15T06:42:10.075471 | [TRADE-DECISION] SUIUSDC | Action: BUY | Confiance: 0.29 | Score: 0.2877 | Tech: 0.01 | AI: 0.15
2025-08-15T06:42:10.199288 | [TRADE-DECISION] SUIUSDC | Action: NEUTRAL | Confiance: 0.04 | Score: 0.0433 | Tech: 0.02 | AI: 0.15
